Counties by U.S. State
======================

GA
--
(From https://en.wikipedia.org/wiki/List_of_counties_in_Georgia#cite_note-FIPS-9)

Miller;Colquitt;31^10'23"N,84^43'43"W;31737,39837
Mitchell;Camilla;31^13'49"N,84^12'33"W;31730
Monroe;Forsyth;33^2'6"N,83^56'17"W;31029
Montgomery;Mount Vernon;32^10'53"N,82^35'38"W;30445
Morgan;Madison;33^35'17"N,83^28'21"W;30650
Murray;Chatsworth;34^45'20"N,84^46'44"W;30705
Muscogee;Columbus;32^29'32"N,84^56'25"W;31820,31829,31900-31909,31914,31917,31993,31994,31997-31999
Newton;Covington;33^36'N,83^52'W;30014-30016

Oconee;Watkinsville;33^51'46"N,83^24'29"W;30677
Oglethorpe;Lexington;33^52'13"N,83^5'39"W;30648

Paulding;Dallas;33^55'7"N,84^50'27"W;30132,30157
Peach;Fort Valley;32^33'N,83^53'W;31030
Pickens;Jasper;34^28'9"N,84^26'3"W;30143
Pierce;Blackshear;31^17'56"N,82^14'52"W;31516
Pike;Zebulon;33^5'56"N,84^20'32"W;30295
Polk;Cedartown;34^0'55"N,85^14'14"W;30125
Pulaski;Hawkinsville;32^17'1"N,83^28'36"W,31036
Putnam;Eatonton;33^19'35"N,83^23'16"W;31024

Quitman;Georgetown;31.8846N,85.1074W;31754,39854

Rabun;Clayton;34^52'40"N,83^24'6"W;30525
Randolph;Cuthbert;31^56'15"N,84^47'37"W;31740,39840
Richmond;Augusta;33^28'N,81^58"W;30815,30901,30904,30906,30907,30909,30912
Rockdale;Conyers;33^39'59"N,84^0'27"W;30012,30013,30094

Schley;Ellaville;32^14'20"N,84^18'34"W;31806
Screven;Sylvania;32^45'1"N,81^38'23"W;30467
Seminole;Donalsonville;31^2'27"N,84^52'42"W;39845
Spalding;Griffin;33^14'51"N,84^16'15"W;30223,30224
Stephens;Toccoa;34^34'29"N,83^19'12"W;30577
Stewart;Lumpkin;32^2'59"N,84^47'45"W,31815
Sumpter;Americus;32^4'31"N,34^13'36"W,31709,31710,31719

Talbot;Talbotton;32^40'41"N,84^32'23"W;31827
Taliaferro;Crawfordville;33^33'17"N,82^53'54"W;30631
Tattnall;Reidsville;32^5'2"N,82^7'15"W;30453,30499
Taylor;Butler;32^33'N,84^14'W;31006
Telfair;McRae;32^3'52"N,82^52'54"W;31055
Terrell;Dawson;31^46'26"N,84^26'27"W;31742,39842
Thomas;Thomasville;30^50'11"N,83^58'42"W;31757,31758,31792,31799
Tift;Tifton;31^27'48"N,84^30'36W;31793,31794
Toombs;Lyons;32^12'15"N,82^19'22"W;30436
Towns;Hiawassee;34^56'58"N,83^45'18"W;30546
Treutlen;Soperton;32^22'34"N,82^35'34"W;30457
Troup;LaGrange;33^2'12"N,85^01'55"W;30240,30241,30261
Turner;Ashburn;31^42'16"N,83^39'14"W;31714
Twiggs;Jeffersonville;32^41'2"N,83^20'23"W;31044

Union;Blairsville;34^52'32"N,83^57'24"W;30512,30514
Upson;Thomaston;32^54'N,84^20'W;30286

Walker;Lafayette;34^42'35"N,85^17'2"W;30728
Walton;Monroe;33^47'36"N,83^42'39"W;30655,30656
Ware;Waycross;31^12'50"N,82^21'18"W;31501-31503
Warren;Warrenton;33^24'27"N,82^39'46"W;30828
Washington;Sandersville;32^58'55"N,82^48'35"W;31082
Wayne;Jesup;31^36'7"N,81^53'6"W,31545,31546,31598,31599
Webster;Preston;32^3'39"N,84^32'18"W;31824
Wheeler;Alamo;32^8'54"N,82^46'43"W;30411
White;Cleveland;34^35'47"N,83^45'50"W;30528
Whitfield;Dalton;34^46'16"N,84^58'18"W;30719-30722
Wilcox;Abbeville;31^59'30"N,83^18'27"W;31001
Wilkes;Washington;33^44'13"N;82^44'22W;30673
Wilkinson;Irwinton;32^48'43"N,83^10'36"W;31042
Worth;Sylvester;31^31'53"N,83^50'10"W;31791

